Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
Work-related fatigue among medical personnel in Taiwan.,/pubmed/23809098,"Ho JC, Lee MB, Chen RY, Chen CJ, Chang WP, Yeh CY, Lyu SY.",J Formos Med Assoc. 2013 Oct;112(10):608-15. doi: 10.1016/j.jfma.2013.05.009. Epub 2013 Jun 25.,J Formos Med Assoc.  2013,PubMed,citation,PMID:23809098,pubmed,23809098,create date:2013/07/03 | first author:Ho JC
[Description of workloads and fatigue experienced among health workers in a teaching hospital].,/pubmed/23781725,"Santana Lde L, Miranda FM, Karino ME, Baptista PC, Felli VE, Sarquis LM.",Rev Gaucha Enferm. 2013 Mar;34(1):64-70. Portuguese. ,Rev Gaucha Enferm.  2013,PubMed,citation,PMID:23781725,pubmed,23781725,create date:2013/06/21 | first author:Santana Lde L
Risk for work-related fatigue among the employees on semiconductor manufacturing lines.,/pubmed/23761590,"Lin YC, Chen YC, Hsieh HI, Chen PC.",Asia Pac J Public Health. 2015 Mar;27(2):NP1805-18. doi: 10.1177/1010539513490788. Epub 2013 Jun 11.,Asia Pac J Public Health.  2015,PubMed,citation,PMID:23761590,pubmed,23761590,create date:2013/06/14 | first author:Lin YC
"No benefit adding eleutherococcus senticosus to stress management training in stress-related fatigue/weakness, impaired work or concentration, a randomized controlled study.",/pubmed/23740477,"Schaffler K, Wolf OT, Burkart M.",Pharmacopsychiatry. 2013 Jul;46(5):181-90. doi: 10.1055/s-0033-1347178. Epub 2013 Jun 5.,Pharmacopsychiatry.  2013,PubMed,citation,PMID:23740477,pubmed,23740477,create date:2013/06/07 | first author:Schaffler K
Fatigue and occupational functioning in major depressive disorder.,/pubmed/23652385,"Lam RW, Malhi GS, McIntyre RS, Demyttenaere K, Gorwood P, Michalak EE, Hegerl U.",Aust N Z J Psychiatry. 2013 Nov;47(11):989-91. doi: 10.1177/0004867413488222. Epub 2013 May 7. No abstract available. ,Aust N Z J Psychiatry.  2013,PubMed,citation,PMID:23652385,pubmed,23652385,create date:2013/05/09 | first author:Lam RW
Occupational fatigue: impact on anesthesiologist's health and the safety of surgical patients. As anesthesiologists we are frequently working in a stressful environment. Do you disagree with this?,/pubmed/23601255,"Members of Professional Wellbeing Committee, World Federation of Societies of Anesthesiologists., Moore R, Gupta P, Duval Neto GF.",Braz J Anesthesiol. 2013 Mar-Apr;63(2):167-9. doi: 10.1016/S0034-7094(13)70209-5. No abstract available. ,Braz J Anesthesiol.  2013,PubMed,citation,PMID:23601255,pubmed,23601255,"create date:2013/04/23 | first author:Members of Professional Wellbeing Committee, World Federation of Societies of Anesthesiologists."
Nursing fatigue and staffing costs: what's the connection?,/pubmed/23524562,Reed K.,Nurs Manage. 2013 Apr;44(4):47-50. doi: 10.1097/01.NUMA.0000428198.52507.0a. No abstract available. ,Nurs Manage.  2013,PubMed,citation,PMID:23524562,pubmed,23524562,create date:2013/03/26 | first author:Reed K
Work capacity and health-related quality of life among individuals with multiple sclerosis reduced by fatigue: a cross-sectional study.,/pubmed/23497281,"Flensner G, Landtblom AM, Söderhamn O, Ek AC.",BMC Public Health. 2013 Mar 15;13:224. doi: 10.1186/1471-2458-13-224.,BMC Public Health.  2013,PubMed,citation,PMID:23497281 | PMCID:PMC3606119,pubmed,23497281,create date:2013/03/19 | first author:Flensner G
[Fatigue and fracture resistance of the flared roots restored with computer aided design and computer aided manufacturing glass fiber posts].,/pubmed/23411521,"Li Z, Wang XZ, Gao CZ, Ivo K.",Beijing Da Xue Xue Bao Yi Xue Ban. 2013 Feb 18;45(1):59-63. Chinese. ,Beijing Da Xue Xue Bao Yi Xue Ban.  2013,PubMed,citation,PMID:23411521,pubmed,23411521,create date:2013/02/16 | first author:Li Z
"Work productivity in relapsing multiple sclerosis: associations with disability, depression, fatigue, anxiety, cognition, and health-related quality of life.",/pubmed/23244804,"Glanz BI, Dégano IR, Rintell DJ, Chitnis T, Weiner HL, Healy BC.",Value Health. 2012 Dec;15(8):1029-35. doi: 10.1016/j.jval.2012.07.010. Epub 2012 Oct 25.,Value Health.  2012,PubMed,citation,PMID:23244804,pubmed,23244804,create date:2012/12/19 | first author:Glanz BI
Association of resident fatigue and distress with occupational blood and body fluid exposures and motor vehicle incidents.,/pubmed/23218084,"West CP, Tan AD, Shanafelt TD.",Mayo Clin Proc. 2012 Dec;87(12):1138-44. doi: 10.1016/j.mayocp.2012.07.021.,Mayo Clin Proc.  2012,PubMed,citation,PMID:23218084 | PMCID:PMC3541922,pubmed,23218084,create date:2012/12/12 | first author:West CP
Expanding the functionality of speech recognition in radiology: creating a real-time methodology for measurement and analysis of occupational stress and fatigue.,/pubmed/23053910,Reiner BI.,J Digit Imaging. 2013 Feb;26(1):5-9. doi: 10.1007/s10278-012-9540-0.,J Digit Imaging.  2013,PubMed,citation,PMID:23053910 | PMCID:PMC3553361,pubmed,23053910,create date:2012/10/12 | first author:Reiner BI
Validation of defining characteristics for the nursing diagnosis of fatigue in oncological patients.,/pubmed/22991112,"da Silva Pde O, Gorini MI.","Rev Lat Am Enfermagem. 2012 May-Jun;20(3):504-10. English, Portuguese, Spanish. ",Rev Lat Am Enfermagem.  2012,PubMed,citation,PMID:22991112,pubmed,22991112,create date:2012/09/20 | first author:da Silva Pde O
A structural equation modeling approach to fatigue-related risk factors for occupational injury.,/pubmed/22956514,"Arlinghaus A, Lombardi DA, Willetts JL, Folkard S, Christiani DC.",Am J Epidemiol. 2012 Oct 1;176(7):597-607. Epub 2012 Sep 6.,Am J Epidemiol.  2012,PubMed,citation,PMID:22956514,pubmed,22956514,create date:2012/09/08 | first author:Arlinghaus A
Assessment of muscle fatigue associated with prolonged standing in the workplace.,/pubmed/22953228,"Halim I, Omar AR, Saman AM, Othman I.",Saf Health Work. 2012 Mar;3(1):31-42. doi: 10.5491/SHAW.2012.3.1.31. Epub 2012 Mar 8.,Saf Health Work.  2012,PubMed,citation,PMID:22953228 | PMCID:PMC3430927,pubmed,22953228,create date:2012/09/07 | first author:Halim I
[Study on effect of backrest thickness to lumbar muscle fatigue during computer work].,/pubmed/22808543,"Huang YD, Wang S, Wang T, He LH, Liu YF.",Zhonghua Lao Dong Wei Sheng Zhi Ye Bing Za Zhi. 2012 Feb;30(2):113-4. Chinese. ,Zhonghua Lao Dong Wei Sheng Zhi Ye Bing Za Zhi.  2012,PubMed,citation,PMID:22808543,pubmed,22808543,create date:2012/07/19 | first author:Huang YD
Nursing practice and fatigue.,/pubmed/22668682,Witt CL.,Adv Neonatal Care. 2012 Jun;12(3):143. doi: 10.1097/ANC.0b013e3182595645. No abstract available. ,Adv Neonatal Care.  2012,PubMed,citation,PMID:22668682,pubmed,22668682,create date:2012/06/07 | first author:Witt CL
Alert fatigue: implications for the clinical nurse specialist.,/pubmed/22649840,Barton AJ.,Clin Nurse Spec. 2011 Sep-Oct;25(5):218-9. No abstract available. ,Clin Nurse Spec.  2011,PubMed,citation,PMID:22649840,pubmed,22649840,create date:2012/06/02 | first author:Barton AJ
Sentinel Event alert: new alert warns of risks associated with health care worker fatigue.,/pubmed/22509626,[No authors listed],Jt Comm Perspect. 2012 Mar;32(3):7-10. No abstract available. ,Jt Comm Perspect.  2012,PubMed,citation,PMID:22509626,pubmed,22509626,create date:2012/04/19
Action urged to fight health care worker fatigue.,/pubmed/22458097,[No authors listed],Am Nurse. 2012 Jan-Feb;44(1):5. No abstract available. ,Am Nurse.  2012,PubMed,citation,PMID:22458097,pubmed,22458097,create date:2012/03/31
Concurrent cognitive task may improve motor work performance and reduce muscle fatigue.,/pubmed/22317158,"Evstigneeva M, Aleksandrov A, Mathiassen SE, Lyskov E.",Work. 2012;41 Suppl 1:2893-6. doi: 10.3233/WOR-2012-0540-2893.,Work.  2012,PubMed,citation,PMID:22317158,pubmed,22317158,create date:2012/02/10 | first author:Evstigneeva M
Construction of a survey to assess workload and fatigue among AMT operators in Mexico.,/pubmed/22316973,"Hernández Arellano JL, Ibarra Mejía G, Serratos Pérez JN, García Alcaraz JL, Brunette MJ.",Work. 2012;41 Suppl 1:1790-6. doi: 10.3233/WOR-2012-0387-1790.,Work.  2012,PubMed,citation,PMID:22316973,pubmed,22316973,create date:2012/02/10 | first author:Hernández Arellano JL
Fatigue risk management in the workplace.,/pubmed/22269988,"Lerman SE, Eskin E, Flower DJ, George EC, Gerson B, Hartenbaum N, Hursh SR, Moore-Ede M; American College of Occupational and Environmental Medicine Presidential Task Force on Fatigue Risk Management..",J Occup Environ Med. 2012 Feb;54(2):231-58. doi: 10.1097/JOM.0b013e318247a3b0. No abstract available. ,J Occup Environ Med.  2012,PubMed,citation,PMID:22269988,pubmed,22269988,create date:2012/01/25 | first author:Lerman SE
Intravenous vitamin C administration reduces fatigue in office workers: a double-blind randomized controlled trial.,/pubmed/22264303,"Suh SY, Bae WK, Ahn HY, Choi SE, Jung GC, Yeom CH.",Nutr J. 2012 Jan 20;11:7. doi: 10.1186/1475-2891-11-7.,Nutr J.  2012,PubMed,citation,PMID:22264303 | PMCID:PMC3273429,pubmed,22264303,create date:2012/01/24 | first author:Suh SY
Fatigue-related crashes involving express buses in Malaysia: will the proposed policy of banning the early-hour operation reduce fatigue-related crashes and benefit overall road safety?,/pubmed/22239931,"Mohamed N, Mohd-Yusoff MF, Othman I, Zulkipli ZH, Osman MR, Voon WS.",Accid Anal Prev. 2012 Mar;45 Suppl:45-9. doi: 10.1016/j.aap.2011.09.025. Epub 2011 Oct 11.,Accid Anal Prev.  2012,PubMed,citation,PMID:22239931,pubmed,22239931,create date:2012/01/18 | first author:Mohamed N
The scientific method at work: xenotropic murine leukemia virus-related virus is neither a cause of chronic fatigue syndrome nor a threat to the blood supply.,/pubmed/22239209,"Karafin MS, Stramer SL.",Transfusion. 2012 Feb;52(2):222-5. doi: 10.1111/j.1537-2995.2011.03518.x. No abstract available. ,Transfusion.  2012,PubMed,citation,PMID:22239209,pubmed,22239209,create date:2012/01/14 | first author:Karafin MS
Factors associated with work ability and perception of fatigue among nursing personnel from Amazonia.,/pubmed/22218667,"Vasconcelos SP, Fischer FM, Reis AO, Moreno CR.","Rev Bras Epidemiol. 2011 Dec;14(4):688-97. English, Portuguese. ",Rev Bras Epidemiol.  2011,PubMed,citation,PMID:22218667,pubmed,22218667,create date:2012/01/06 | first author:Vasconcelos SP
The relationship between fatigue-related factors and work-related injuries in the Saskatchewan Farm Injury Cohort Study.,/pubmed/22213463,"Lilley R, Day L, Koehncke N, Dosman J, Hagel L, William P; Saskatchewan Farm Injury Cohort Study..",Am J Ind Med. 2012 Apr;55(4):367-75. doi: 10.1002/ajim.22003. Epub 2011 Dec 27.,Am J Ind Med.  2012,PubMed,citation,PMID:22213463,pubmed,22213463,create date:2012/01/04 | first author:Lilley R
Challenges of nurse delivery of psychological interventions for long-term conditions in primary care: a qualitative exploration of the case of chronic fatigue syndrome/myalgic encephalitis.,/pubmed/22192566,"Peters S, Wearden A, Morriss R, Dowrick CF, Lovell K, Brooks J, Cahill G, Chew-Graham C; FINE Trial Group..",Implement Sci. 2011 Dec 22;6:132. doi: 10.1186/1748-5908-6-132.,Implement Sci.  2011,PubMed,citation,PMID:22192566 | PMCID:PMC3259041,pubmed,22192566,create date:2011/12/24 | first author:Peters S
Demystifying occupational stress and fatigue through the creation of an adaptive end-user profiling system.,/pubmed/22143413,"Reiner BI, Krupinski E.",J Digit Imaging. 2012 Apr;25(2):201-5. doi: 10.1007/s10278-011-9441-7. No abstract available. ,J Digit Imaging.  2012,PubMed,citation,PMID:22143413 | PMCID:PMC3295964,pubmed,22143413,create date:2011/12/07 | first author:Reiner BI
Innovation strategies for combating occupational stress and fatigue in medical imaging.,/pubmed/22143411,"Reiner BI, Krupinski E.",J Digit Imaging. 2012 Aug;25(4):445-8. doi: 10.1007/s10278-011-9437-3. Review. No abstract available. ,J Digit Imaging.  2012,PubMed,citation,PMID:22143411 | PMCID:PMC3389096,pubmed,22143411,create date:2011/12/07 | first author:Reiner BI
"Tossing and turning--insomnia in relation to occupational stress, rumination, fatigue, and well-being.",/pubmed/22138930,"Kompier MA, Taris TW, van Veldhoven M.",Scand J Work Environ Health. 2012 May;38(3):238-46. doi: 10.5271/sjweh.3263. Epub 2011 Dec 2.,Scand J Work Environ Health.  2012,PubMed,citation,PMID:22138930,pubmed,22138930,create date:2011/12/06 | first author:Kompier MA
Real-time occupational stress and fatigue measurement in medical imaging practice.,/pubmed/22124655,"Krupinski E, Reiner BI.",J Digit Imaging. 2012 Jun;25(3):319-24. doi: 10.1007/s10278-011-9439-1. No abstract available. ,J Digit Imaging.  2012,PubMed,citation,PMID:22124655 | PMCID:PMC3348986,pubmed,22124655,create date:2011/11/30 | first author:Krupinski E
The occupational and quality of life consequences of chronic fatigue syndrome/myalgic encephalomyelitis in young people.,/pubmed/22102767,"Taylor RR, O'Brien J, Kielhofner G, Lee SW, Katz B, Mears C.",Br J Occup Ther. 2010 Nov 1;73(11):524-530.,Br J Occup Ther.  2010,PubMed,citation,PMID:22102767 | PMCID:PMC3217273,pubmed,22102767,create date:2011/11/22 | first author:Taylor RR
Impact of fatigue on performance in registered nurses: data mining and implications for practice.,/pubmed/22092777,"Pasupathy KS, Barker LM.",J Healthc Qual. 2012 Sep-Oct;34(5):22-30. doi: 10.1111/j.1945-1474.2011.00157.x. Epub 2011 Aug 29.,J Healthc Qual.  2012,PubMed,citation,PMID:22092777,pubmed,22092777,create date:2011/11/19 | first author:Pasupathy KS
Influence of different manufacturing methods on the cyclic fatigue of rotary nickel-titanium endodontic instruments.,/pubmed/22000462,"Rodrigues RC, Lopes HP, Elias CN, Amaral G, Vieira VT, De Martin AS.",J Endod. 2011 Nov;37(11):1553-7. doi: 10.1016/j.joen.2011.08.011. Epub 2011 Sep 22.,J Endod.  2011,PubMed,citation,PMID:22000462,pubmed,22000462,create date:2011/10/18 | first author:Rodrigues RC
Fatigue and work safety behavior in men during early fatherhood.,/pubmed/21965183,"Mellor G, St John W.",Am J Mens Health. 2012 Jan;6(1):80-8. doi: 10.1177/1557988311423723. Epub 2011 Sep 29.,Am J Mens Health.  2012,PubMed,citation,PMID:21965183,pubmed,21965183,create date:2011/10/04 | first author:Mellor G
Fatigue response of rat medial longissimus muscles induced with electrical stimulation at various work/rest ratios.,/pubmed/21925902,"Wawrow PT, Jakobi JM, Cavanaugh JM.",J Electromyogr Kinesiol. 2011 Dec;21(6):939-46. doi: 10.1016/j.jelekin.2011.08.007. Epub 2011 Sep 16.,J Electromyogr Kinesiol.  2011,PubMed,citation,PMID:21925902,pubmed,21925902,create date:2011/09/20 | first author:Wawrow PT
Commentary on: Fatigue and extended work hours among perfusionists: 2010 Survey.,/pubmed/21900410,Trew A.,Perfusion. 2011 Sep;26(5):373-4. doi: 10.1177/0267659111409821. No abstract available. ,Perfusion.  2011,PubMed,citation,PMID:21900410,pubmed,21900410,create date:2011/09/09 | first author:Trew A
The effects of fatigue on performance in simulated nursing work.,/pubmed/21854176,"Barker LM, Nussbaum MA.",Ergonomics. 2011 Sep;54(9):815-29. doi: 10.1080/00140139.2011.597878. Epub 2011 Aug 19.,Ergonomics.  2011,PubMed,citation,PMID:21854176,pubmed,21854176,create date:2011/08/23 | first author:Barker LM
Measuring disability in patients with chronic fatigue syndrome: reliability and validity of the Work and Social Adjustment Scale.,/pubmed/21843745,"Cella M, Sharpe M, Chalder T.",J Psychosom Res. 2011 Sep;71(3):124-8. doi: 10.1016/j.jpsychores.2011.02.009. Epub 2011 Apr 3.,J Psychosom Res.  2011,PubMed,citation,PMID:21843745,pubmed,21843745,create date:2011/08/17 | first author:Cella M
Mechanical work accounts for sex differences in fatigue during repeated sprints.,/pubmed/21830096,"Billaut F, Bishop DJ.",Eur J Appl Physiol. 2012 Apr;112(4):1429-36. doi: 10.1007/s00421-011-2110-1. Epub 2011 Aug 10.,Eur J Appl Physiol.  2012,PubMed,citation,PMID:21830096,pubmed,21830096,create date:2011/08/11 | first author:Billaut F
Nurse fatigue: an NCNA survey.,/pubmed/21823516,"Campbell J, Williams S, Orr J, McCourt K, Salmon-Wilson N, Moore C.",Tar Heel Nurse. 2011 Jul-Sep;73(3):12-5. No abstract available. ,Tar Heel Nurse.  2011,PubMed,citation,PMID:21823516,pubmed,21823516,create date:2011/08/10 | first author:Campbell J
"The fate of a progressive science: the Harvard Fatigue Laboratory, athletes, the science of work and the politics of reform.",/pubmed/21757233,Scheffler RW.,Endeavour. 2011 Jun;35(2-3):48-54. doi: 10.1016/j.endeavour.2011.05.007. Epub 2011 Jul 16.,Endeavour.  2011,PubMed,citation,PMID:21757233,pubmed,21757233,create date:2011/07/16 | first author:Scheffler RW
Fatigue and depression predict physician visits and work disability in women with primary Sjögren's syndrome: results from a cohort study.,/pubmed/21705778,"Westhoff G, Dörner T, Zink A.",Rheumatology (Oxford). 2012 Feb;51(2):262-9. doi: 10.1093/rheumatology/ker208. Epub 2011 Jun 25.,Rheumatology (Oxford).  2012,PubMed,citation,PMID:21705778,pubmed,21705778,create date:2011/06/28 | first author:Westhoff G
Post-stroke fatigue and return to work: a 2-year follow-up.,/pubmed/21692753,"Andersen G, Christensen D, Kirkevold M, Johnsen SP.",Acta Neurol Scand. 2012 Apr;125(4):248-53. doi: 10.1111/j.1600-0404.2011.01557.x. Epub 2011 Jun 21.,Acta Neurol Scand.  2012,PubMed,citation,PMID:21692753,pubmed,21692753,create date:2011/06/23 | first author:Andersen G
Nurses and midwives constantly at risk of workplace fatigue.,/pubmed/21667639,[No authors listed],Qld Nurse. 2011 Apr;30(2):29. No abstract available. ,Qld Nurse.  2011,PubMed,citation,PMID:21667639,pubmed,21667639,create date:2011/06/15
[A field study on the work load and muscle fatigue at neck-shoulder in female sewing machine operators by using surface electromyography].,/pubmed/21619811,"Zhang FR, Wang S, He LH, Zhang Y, Wu SS, Li JY, Hu GY, Ye KP.",Zhonghua Lao Dong Wei Sheng Zhi Ye Bing Za Zhi. 2011 Mar;29(3):171-5. Chinese. ,Zhonghua Lao Dong Wei Sheng Zhi Ye Bing Za Zhi.  2011,PubMed,citation,PMID:21619811,pubmed,21619811,create date:2011/05/31 | first author:Zhang FR
Fatigue and extended work hours among cardiovascular perfusionists: 2010 Survey.,/pubmed/21565975,"Trew A, Searles B, Smith T, Darling EM.",Perfusion. 2011 Sep;26(5):361-70. doi: 10.1177/0267659111409278. Epub 2011 May 12.,Perfusion.  2011,PubMed,citation,PMID:21565975,pubmed,21565975,create date:2011/05/14 | first author:Trew A
Individual differences in cognitive vulnerability to fatigue in the laboratory and in the workplace.,/pubmed/21531250,"Van Dongen HP, Caldwell JA Jr, Caldwell JL.",Prog Brain Res. 2011;190:145-53. doi: 10.1016/B978-0-444-53817-8.00009-8.,Prog Brain Res.  2011,PubMed,citation,PMID:21531250,pubmed,21531250,create date:2011/05/03 | first author:Van Dongen HP
Relieving occupational fatigue by consumption of a beverage containing γ-amino butyric acid.,/pubmed/21512285,"Kanehira T, Nakamura Y, Nakamura K, Horie K, Horie N, Furugori K, Sauchi Y, Yokogoshi H.",J Nutr Sci Vitaminol (Tokyo). 2011;57(1):9-15.,J Nutr Sci Vitaminol (Tokyo).  2011,PubMed,citation,PMID:21512285,pubmed,21512285,create date:2011/04/23 | first author:Kanehira T
The effect of positive events at work on after-work fatigue: they matter most in face of adversity.,/pubmed/21480686,"Gross S, Semmer NK, Meier LL, Kälin W, Jacobshagen N, Tschan F.",J Appl Psychol. 2011 May;96(3):654-64. doi: 10.1037/a0022992.,J Appl Psychol.  2011,PubMed,citation,PMID:21480686,pubmed,21480686,create date:2011/04/13 | first author:Gross S
Work-related limitations and return-to-work experiences in prolonged fatigue: workers' perspectives before and after vocational treatment.,/pubmed/21446856,"Joosen MC, Frings-Dresen MH, Sluiter JK.",Disabil Rehabil. 2011;33(23-24):2166-78. doi: 10.3109/09638288.2011.563814. Epub 2011 Mar 29.,Disabil Rehabil.  2011,PubMed,citation,PMID:21446856,pubmed,21446856,create date:2011/03/31 | first author:Joosen MC
"Fatigue, work hours, dinosaurs, and other fossils.",/pubmed/21389800,Hallock GG.,Ann Plast Surg. 2011 Apr;66(4):323. doi: 10.1097/SAP.0b013e3182118fc0. No abstract available. ,Ann Plast Surg.  2011,PubMed,citation,PMID:21389800,pubmed,21389800,create date:2011/03/11 | first author:Hallock GG
"Effect of a contusion injury on muscular force, power, work, and fatigue.",/pubmed/21362054,"Elmer S, McDaniel J, Mattson J, Martin J.",Scand J Med Sci Sports. 2012 Aug;22(4):488-94. doi: 10.1111/j.1600-0838.2010.01276.x. Epub 2011 Mar 1.,Scand J Med Sci Sports.  2012,PubMed,citation,PMID:21362054,pubmed,21362054,create date:2011/03/03 | first author:Elmer S
"Fatigue, performance and the work environment: a survey of registered nurses.",/pubmed/21352271,"Barker LM, Nussbaum MA.",J Adv Nurs. 2011 Jun;67(6):1370-82. doi: 10.1111/j.1365-2648.2010.05597.x. Epub 2011 Feb 24.,J Adv Nurs.  2011,PubMed,citation,PMID:21352271,pubmed,21352271,create date:2011/03/01 | first author:Barker LM
Risk factors for work-related fatigue in students with school-year employment.,/pubmed/21338901,"Laberge L, Ledoux E, Auclair J, Thuilier C, Gaudreault M, Gaudreault M, Veillette S, Perron M.",J Adolesc Health. 2011 Mar;48(3):289-94. doi: 10.1016/j.jadohealth.2010.07.003. Epub 2010 Sep 15.,J Adolesc Health.  2011,PubMed,citation,PMID:21338901,pubmed,21338901,create date:2011/02/23 | first author:Laberge L
[Fatigue among nursing undergraduate students].,/pubmed/21337789,"Amaducci Cde M, Mota DD, Pimenta CA.",Rev Esc Enferm USP. 2010 Dec;44(4):1052-8. Portuguese. ,Rev Esc Enferm USP.  2010,PubMed,citation,PMID:21337789,pubmed,21337789,create date:2011/02/23 | first author:Amaducci Cde M
Risk factors for lower extremity fatigue among assembly plant workers.,/pubmed/21298696,"Gell N, Werner RA, Hartigan A, Wiggermann N, Keyserling WM.",Am J Ind Med. 2011 Mar;54(3):216-23. doi: 10.1002/ajim.20918. Epub 2010 Oct 28.,Am J Ind Med.  2011,PubMed,citation,PMID:21298696,pubmed,21298696,create date:2011/02/08 | first author:Gell N
"The effect of work pace on workload, motor variability and fatigue during simulated light assembly work.",/pubmed/21294013,"Bosch T, Mathiassen SE, Visser B, de Looze MP, van Dieën JH.",Ergonomics. 2011 Feb;54(2):154-68. doi: 10.1080/00140139.2010.538723.,Ergonomics.  2011,PubMed,citation,PMID:21294013,pubmed,21294013,create date:2011/02/05 | first author:Bosch T
Work-family conflict and prolonged fatigue among Japanese married male physicians.,/pubmed/21267595,"Ohta H, Wada K, Kawashima M, Arimatsu M, Higashi T, Yoshikawa T, Aizawa Y.",Int Arch Occup Environ Health. 2011 Dec;84(8):937-42. doi: 10.1007/s00420-011-0613-z. Epub 2011 Jan 26.,Int Arch Occup Environ Health.  2011,PubMed,citation,PMID:21267595,pubmed,21267595,create date:2011/01/27 | first author:Ohta H
"[Work, momentum and fatigue in the work of Daniel Bernoulli: toward the optimization of biological fact].",/pubmed/25029823,"Fonteneau Y, Viard J.",Physis Riv Int Stor Sci. 2011-2012;48(1-2):145-95. French. ,Physis Riv Int Stor Sci.  2011,PubMed,citation,PMID:25029823,pubmed,25029823,create date:2011/01/01 | first author:Fonteneau Y
Multiple autoclave cycle effects on cyclic fatigue of nickel-titanium rotary files produced by new manufacturing methods.,/pubmed/21146081,"Hilfer PB, Bergeron BE, Mayerchak MJ, Roberts HW, Jeansonne BG.",J Endod. 2011 Jan;37(1):72-4. doi: 10.1016/j.joen.2010.09.011.,J Endod.  2011,PubMed,citation,PMID:21146081,pubmed,21146081,create date:2010/12/15 | first author:Hilfer PB
Modelling fatigue and the use of fatigue models in work settings.,/pubmed/21130216,"Dawson D, Ian Noy Y, Härmä M, Akerstedt T, Belenky G.",Accid Anal Prev. 2011 Mar;43(2):549-64. doi: 10.1016/j.aap.2009.12.030. Review.,Accid Anal Prev.  2011,PubMed,citation,PMID:21130216,pubmed,21130216,create date:2010/12/07 | first author:Dawson D
Effect of retirement on major chronic conditions and fatigue: French GAZEL occupational cohort study.,/pubmed/21098617,"Westerlund H, Vahtera J, Ferrie JE, Singh-Manoux A, Pentti J, Melchior M, Leineweber C, Jokela M, Siegrist J, Goldberg M, Zins M, Kivimäki M.",BMJ. 2010 Nov 23;341:c6149. doi: 10.1136/bmj.c6149.,BMJ.  2010,PubMed,citation,PMID:21098617 | PMCID:PMC2990862,pubmed,21098617,create date:2010/11/26 | first author:Westerlund H
"Advancing evidence-based nursing practice through explicit theory-testing research: focus on the sixth vital sign, fatigue.",/pubmed/21073497,Fawcett J.,J Adv Nurs. 2010 Dec;66(12):2603. doi: 10.1111/j.1365-2648.2010.05444.x. No abstract available. ,J Adv Nurs.  2010,PubMed,citation,PMID:21073497,pubmed,21073497,create date:2010/11/16 | first author:Fawcett J
Australian football player work rate: evidence of fatigue and pacing?,/pubmed/20861528,Aughey RJ.,Int J Sports Physiol Perform. 2010 Sep;5(3):394-405.,Int J Sports Physiol Perform.  2010,PubMed,citation,PMID:20861528,pubmed,20861528,create date:2010/09/24 | first author:Aughey RJ
"Nurse-delivered, home-based pragmatic rehabilitation has a short-term effect on improving fatigue in people with chronic fatigue syndrome compared with usual GP care, but effects were not sustained at 1 year.",/pubmed/20855345,Armes J.,Evid Based Nurs. 2010 Oct;13(4):125-6. doi: 10.1136/ebn1086. No abstract available. ,Evid Based Nurs.  2010,PubMed,citation,PMID:20855345,pubmed,20855345,create date:2010/09/22 | first author:Armes J
"A gender-based analysis of work patterns, fatigue, and work/life balance among physicians in postgraduate training.",/pubmed/20736682,"Gander P, Briar C, Garden A, Purnell H, Woodward A.",Acad Med. 2010 Sep;85(9):1526-36. doi: 10.1097/ACM.0b013e3181eabd06.,Acad Med.  2010,PubMed,citation,PMID:20736682,pubmed,20736682,create date:2010/08/26 | first author:Gander P
Staying safe in the jungles of Borneo: five studies of fatigue and cultural issues in remote mining projects.,/pubmed/20720332,Fletcher A.,Ind Health. 2010;48(4):406-15.,Ind Health.  2010,PubMed,citation,PMID:20720332,pubmed,20720332,create date:2010/08/20 | first author:Fletcher A
Effect of oral rehydration solution on fatigue during outdoor work in a hot environment: a randomized crossover study.,/pubmed/20551583,"Ishikawa T, Tamura H, Ishiguro H, Yamaguchi K, Minami K.",J Occup Health. 2010;52(4):209-15. Epub 2010 Jun 14.,J Occup Health.  2010,PubMed,citation,PMID:20551583,pubmed,20551583,create date:2010/06/17 | first author:Ishikawa T
Physical function improvements and relief from fatigue and pain are associated with increased productivity at work and at home in rheumatoid arthritis patients treated with certolizumab pegol.,/pubmed/20547658,"Hazes JM, Taylor P, Strand V, Purcaru O, Coteur G, Mease P.",Rheumatology (Oxford). 2010 Oct;49(10):1900-10. doi: 10.1093/rheumatology/keq109. Epub 2010 Jun 14.,Rheumatology (Oxford).  2010,PubMed,citation,PMID:20547658 | PMCID:PMC2936945,pubmed,20547658,create date:2010/06/16 | first author:Hazes JM
"Improvement of work ability, quality of life, and fatigue in patients with rheumatoid arthritis treated with adalimumab.",/pubmed/20523240,"Herenius MM, Hoving JL, Sluiter JK, Raterman HG, Lems WF, Dijkmans BA, Tak PP, Nurmohamed MT, Voskuyl AE, Frings-Dresen MH.",J Occup Environ Med. 2010 Jun;52(6):618-21. doi: 10.1097/JOM.0b013e3181de8357.,J Occup Environ Med.  2010,PubMed,citation,PMID:20523240,pubmed,20523240,create date:2010/06/05 | first author:Herenius MM
